Absorption and Emission cross sections are only a function of host glass composition,,
Fiber used for Measurement (for data traceability purposes):,,
Fiber ID: 10-A1307-10-3B-13-01,,
Part Number: LMA-YDF-25/250-VIII,,
Yb absorption and emission Cross-Sections for Gen VIII glass,,
m,m^2,m^2
wavelength,absorption,emission
8.2540E-07,9.3000E-27,0.0000E+00
8.2560E-07,9.6000E-27,0.0000E+00
8.2580E-07,9.6000E-27,0.0000E+00
8.2600E-07,9.6000E-27,0.0000E+00
8.2620E-07,9.6000E-27,0.0000E+00
8.2640E-07,9.6000E-27,0.0000E+00
8.2660E-07,9.9000E-27,0.0000E+00
8.2680E-07,9.9000E-27,0.0000E+00
8.2700E-07,9.9000E-27,0.0000E+00
8.2720E-07,9.9000E-27,0.0000E+00
8.2740E-07,1.0200E-26,0.0000E+00
8.2760E-07,1.0200E-26,0.0000E+00
8.2780E-07,1.0200E-26,0.0000E+00
8.2800E-07,1.0500E-26,0.0000E+00
8.2820E-07,1.0200E-26,0.0000E+00
8.2840E-07,1.0500E-26,0.0000E+00
8.2860E-07,1.0500E-26,0.0000E+00
8.2880E-07,1.0500E-26,0.0000E+00
8.2900E-07,1.0500E-26,0.0000E+00
8.2920E-07,1.0800E-26,0.0000E+00
8.2940E-07,1.0800E-26,0.0000E+00
8.2960E-07,1.0800E-26,0.0000E+00
8.2980E-07,1.1100E-26,0.0000E+00
8.3000E-07,1.1100E-26,0.0000E+00
8.3020E-07,1.1100E-26,0.0000E+00
8.3040E-07,1.1100E-26,0.0000E+00
8.3060E-07,1.1100E-26,0.0000E+00
8.3080E-07,1.1300E-26,0.0000E+00
8.3100E-07,1.1300E-26,0.0000E+00
8.3120E-07,1.1600E-26,0.0000E+00
8.3140E-07,1.1600E-26,0.0000E+00
8.3160E-07,1.1600E-26,0.0000E+00
8.3180E-07,1.1600E-26,0.0000E+00
8.3200E-07,1.1600E-26,0.0000E+00
8.3220E-07,1.1600E-26,0.0000E+00
8.3240E-07,1.1900E-26,0.0000E+00
8.3260E-07,1.1900E-26,0.0000E+00
8.3280E-07,1.1900E-26,0.0000E+00
8.3300E-07,1.2200E-26,0.0000E+00
8.3320E-07,1.2200E-26,0.0000E+00
8.3340E-07,1.2200E-26,0.0000E+00
8.3360E-07,1.2200E-26,0.0000E+00
8.3380E-07,1.2500E-26,0.0000E+00
8.3400E-07,1.2500E-26,0.0000E+00
8.3420E-07,1.2500E-26,0.0000E+00
8.3440E-07,1.2800E-26,0.0000E+00
8.3460E-07,1.2800E-26,0.0000E+00
8.3480E-07,1.2800E-26,0.0000E+00
8.3500E-07,1.3100E-26,0.0000E+00
8.3520E-07,1.3100E-26,0.0000E+00
8.3540E-07,1.3100E-26,0.0000E+00
